ID,LID,TLID,SignID,LinkID
1,19562,0,0,1301
2,19563,0,0,1537
3,19564,0,0,992
4,19565,0,0,1402
5,19566,0,0,1333
6,19567,0,0,1752
7,19568,0,0,1427
8,19569,0,0,1256
9,19570,0,0,1635
10,19571,0,0,1451
11,19572,0,0,938
12,19573,0,0,408
13,19574,0,0,805
14,19575,0,0,777
15,19576,0,0,752
16,19577,0,0,727
17,19578,0,0,642
18,19579,0,0,52
19,19580,0,0,487
20,19581,0,0,0
21,19582,0,0,544
22,19583,0,0,873
23,19584,0,0,5514
24,19585,0,0,5216
25,19586,0,0,5248
26,19587,0,0,5280
27,19588,0,0,5185
28,19589,0,0,5118
29,19590,0,0,5056
30,19591,0,0,4960
31,19592,0,0,5019
32,19593,0,0,4911
33,19594,0,0,3849
34,19595,0,0,3648
35,19596,0,0,3702
36,19597,0,0,3735
37,19598,0,0,3757
38,19599,0,0,3832
39,19600,0,0,3640
40,19601,0,0,3615
41,19602,0,0,3581
42,19603,0,0,3508
43,19604,0,0,3463
44,19605,0,0,3175
45,19606,0,0,3111
46,19607,0,0,3104
47,19608,0,0,2967
48,19609,0,0,5126
49,19610,0,0,2815
50,19611,0,0,2648
51,19612,0,0,5368
52,19613,0,0,2642
53,19614,0,0,2410
54,19615,0,0,5668
55,19616,0,0,2154
56,19617,0,0,2270
57,19618,0,0,2116
58,19619,0,0,2114
59,19620,0,0,5579
60,19621,0,0,5044
61,19622,0,0,5925
62,19623,0,0,5891
63,19624,0,0,2125
64,19625,0,0,5813
65,19626,0,0,5725
66,19627,0,0,4834
67,19628,0,0,4765
68,19629,0,0,4721
69,19630,0,0,4597
70,19631,0,0,4502
71,19632,0,0,3382
72,19633,0,0,4623
73,19634,0,0,4544
74,19635,0,0,4424
75,19636,0,0,4005
76,19637,0,0,3945
77,19638,0,0,4156
78,19639,0,0,3901
79,19640,0,0,3989
80,19641,0,0,4123
81,19642,0,0,4075
82,19643,0,0,1983
83,19644,0,0,1972
84,19645,0,0,1944
85,19646,0,0,15359
86,19647,0,0,15068
87,19648,0,0,14747
88,19649,0,0,14405
89,19650,0,0,13709
90,19651,0,0,16654
91,19652,0,0,6263
92,19653,0,0,6252
93,19654,0,0,6207
94,19655,0,0,6180
95,19656,0,0,6174
96,19657,0,0,6146
97,19658,0,0,6112
98,19659,0,0,6079
99,19660,0,0,6022
100,19661,0,0,2072
101,19662,0,0,2026
102,19663,0,0,16342
103,19664,0,0,8930
104,19665,0,0,16919
105,19666,0,0,16910
106,19667,0,0,16866
107,19668,0,0,16845
108,19669,0,0,8771
109,19670,0,0,9536
110,19671,0,0,9406
111,19672,0,0,15223
112,19673,0,0,14917
113,19674,0,0,14586
114,19675,0,0,14232
115,19676,0,0,16945
116,19677,0,0,16902
117,19678,0,0,16892
118,19679,0,0,16875
119,19680,0,0,8774
120,19681,0,0,8744
121,19682,0,0,9210
122,19683,0,0,9080
123,19684,0,0,10416
124,19685,0,0,10283
125,19686,0,0,8256
126,19687,0,0,8104
127,19688,0,0,8256
128,19689,0,0,8104
129,19690,0,0,10504
130,19691,0,0,8030
131,19692,0,0,8232
132,19693,0,0,10126
133,19694,0,0,10802
134,19695,0,0,9756
135,19696,0,0,9666
136,19697,0,0,9638
137,19698,0,0,10897
138,19699,0,0,11013
139,19700,0,0,9807
140,19701,0,0,8596
141,19702,0,0,8563
142,19703,0,0,8477
143,19704,0,0,8432
144,19705,0,0,7509
145,19706,0,0,7466
146,19707,0,0,7848
147,19708,0,0,6990
148,19709,0,0,7715
149,19710,0,0,7885
150,19711,0,0,7655
151,19712,0,0,10546
152,19713,0,0,10782
153,19714,0,0,10740
154,19715,0,0,7295
155,19716,0,0,7231
156,19717,0,0,7166
157,19718,0,0,16106
158,19719,0,0,15623
159,19720,0,0,16157
160,19721,0,0,15553
161,19722,0,0,16266
162,19723,0,0,15857
163,19724,0,0,15917
164,19725,0,0,16147
165,19726,0,0,16208
166,19727,0,0,15821
167,19728,0,0,15825
168,19729,0,0,15824
169,19730,0,0,15846
170,19731,0,0,15856
171,19732,0,0,15862
172,19733,0,0,15915
173,19734,0,0,15915
174,19735,0,0,15919
175,19736,0,0,15919
176,19737,0,0,16011
177,19738,0,0,16019
178,19739,0,0,16021
179,19740,0,0,16101
180,19741,0,0,17565
181,19742,0,0,17595
182,19743,0,0,17116
183,19744,0,0,17076
184,19745,0,0,17031
185,19746,0,0,17172
186,19747,0,0,17153
187,19748,0,0,17189
188,19749,0,0,17668
189,19750,0,0,17630
190,19751,0,0,16926
191,19752,0,0,12753
192,19753,0,0,15370
193,19754,0,0,17054
194,19755,0,0,17238
195,19756,0,0,17749
196,19757,0,0,17708
197,19758,0,0,17818
198,19759,0,0,17798
199,19760,0,0,17827
200,19761,0,0,17320
201,19762,0,0,17350
202,19763,0,0,17430
203,19764,0,0,17845
204,19765,0,0,16855
205,19766,0,0,17953
206,19767,0,0,17971
207,19768,0,0,17934
208,19769,0,0,17480
209,19770,0,0,17508
210,19771,0,0,17622
211,19772,0,0,17639
212,19773,0,0,17769
213,19774,0,0,17904
214,19775,0,0,17980
215,19776,0,0,15431
216,19777,0,0,13721
217,19778,0,0,12894
218,19779,0,0,17095
219,19780,0,0,17125
220,19781,0,0,17207
221,19782,0,0,17341
222,19783,0,0,17289
223,19784,0,0,17412
224,19785,0,0,17403
225,19786,0,0,17421
226,19787,0,0,17500
227,19788,0,0,17451
228,19789,0,0,17259
229,19790,0,0,17885
230,19791,0,0,17854
231,19792,0,0,17012
232,19793,0,0,11593
233,19794,0,0,11580
234,19795,0,0,11474
235,19796,0,0,11565
236,19797,0,0,18019
237,19798,0,0,18094
238,19799,0,0,18209
239,19800,0,0,18269
240,19801,0,0,18321
241,19802,0,0,18463
242,19803,0,0,18580
243,19804,0,0,18015
244,19805,0,0,18081
245,19806,0,0,18195
246,19807,0,0,18268
247,19808,0,0,18318
248,19809,0,0,18462
249,19810,0,0,18570
250,19811,0,0,12578
251,19812,0,0,18505
252,19813,0,0,18474
253,19814,0,0,18369
254,19815,0,0,18408
255,19816,0,0,18290
256,19817,0,0,12454
257,19818,0,0,12168
258,19819,0,0,18230
259,19820,0,0,18112
260,19821,0,0,12334
261,19822,0,0,12484
262,19823,0,0,18029
263,19824,0,0,11638
264,19825,0,0,18424
265,19826,0,0,18534
266,19827,0,0,18534
267,19828,0,0,18543
268,19829,0,0,18691
269,19830,0,0,11615
270,19831,0,0,11680
271,19832,0,0,11539
272,19833,0,0,11539
273,19834,0,0,18257
274,19835,0,0,18239
275,19836,0,0,18239
276,19837,0,0,18278
277,19838,0,0,18259
278,19839,0,0,18259
279,19840,0,0,12704
280,19841,0,0,18551
281,19842,0,0,18515
282,19843,0,0,18484
283,19844,0,0,18472
284,19845,0,0,18495
285,19846,0,0,18454
286,19847,0,0,18441
287,19848,0,0,18442
288,19849,0,0,11850
289,19850,0,0,18561
290,19851,0,0,18571
291,19852,0,0,18657
292,19853,0,0,18648
293,19854,0,0,18598
294,19855,0,0,18638
295,19856,0,0,18675
296,19857,0,0,12049
297,19858,0,0,18300
298,19859,0,0,18310
299,19860,0,0,18396
300,19861,0,0,18340
301,19862,0,0,11648
302,19863,0,0,18417
303,19864,0,0,11948
304,19865,0,0,12242
305,19866,0,0,18161
306,19867,0,0,18152
307,19868,0,0,18198
308,19869,0,0,18184
309,19870,0,0,12155
310,19871,0,0,11318
311,19872,0,0,11303
312,19873,0,0,11957
313,19874,0,0,11281
314,19875,0,0,11247
315,19876,0,0,11243
316,19877,0,0,12395
317,19878,0,0,18073
318,19879,0,0,18102
319,19880,0,0,18120
320,19881,0,0,11451
321,19882,0,0,18007
322,19883,0,0,17989
323,19884,0,0,18028
324,19885,0,0,18008
325,19886,0,0,11388
326,19887,0,0,11383
327,19888,0,0,11369
328,19889,0,0,11370
329,19890,0,0,11368
330,19891,0,0,11104
331,19892,0,0,11696
332,19893,0,0,18432
333,19894,0,0,11857
334,19895,0,0,18248
335,19896,0,0,18130
336,19897,0,0,12265
337,19898,0,0,17998
338,19899,0,0,11856
339,19900,0,0,18453
340,19901,0,0,12056
341,19902,0,0,18247
342,19903,0,0,18171
343,19904,0,0,12402
344,19905,0,0,17997
