VID,PID,Hang,Vang
1,144763,163.05,90.00 
2,144764,160.13,90.00 
3,144765,192.01,90.00 
4,144766,185.51,90.00 
5,144767,181.37,90.00 
6,144768,219.58,90.00 
7,144769,205.44,90.00 
8,144770,169.31,90.00 
9,144771,156.44,90.00 
10,144772,155.59,90.00 
11,144773,172.56,90.00 
12,144774,170.12,90.00 
13,144775,175.05,90.00 
14,144776,188.55,90.00 
15,144777,186.27,90.00 
16,144778,195.44,90.00 
17,144779,193.3,90.00 
18,144780,194.04,90.00 
19,144781,194.06,90.00 
20,144782,192.19,90.00 
21,144783,196.09,90.00 
22,144784,193.16,90.00 
23,144785,198.44,90.00 
24,144786,203.17,90.00 
25,144787,197.24,90.00 
26,144788,203.07,90.00 
27,144789,179.03,90.00 
28,144790,181.07,90.00 
29,144791,178.09,90.00 
30,144792,171.56,90.00 
31,144793,154.23,90.00 
32,144794,159.29,90.00 
33,144795,163.54,90.00 
34,144796,161.42,90.00 
35,144797,160.43,90.00 
36,144798,157.39,90.00 
37,144799,168.15,90.00 
38,144800,191.31,90.00 
39,144801,321.17,90.00 
40,144802,299.45,90.00 
41,144803,323.26,90.00 
42,144804,325.46,90.00 
43,144805,334.53,90.00 
44,144806,316.46,90.00 
45,144807,6.56,90.00 
46,144808,29.38,90.00 
47,144809,355.17,90.00 
48,144810,3.54,90.00 
49,144811,3.54,90.00 
50,144812,5.19,90.00 
51,144813,8.32,90.00 
52,144814,355.08,90.00 
53,144815,336.32,90.00 
54,144816,345.29,90.00 
55,144817,17.11,90.00 
56,144818,17.11,90.00 
57,144819,0.18,90.00 
58,144820,342.44,90.00 
59,144821,342.44,90.00 
60,144822,357.21,90.00 
61,144823,39.26,90.00 
62,144824,2.5,90.00 
63,144825,356.6,90.00 
64,144826,14.39,90.00 
65,144827,6.06,90.00 
66,144828,12.59,90.00 
67,144829,324.57,90.00 
68,144830,24.51,90.00 
69,144831,0.5,90.00 
70,144832,309.39,90.00 
71,144833,260.45,90.00 
72,144834,298.55,90.00 
73,144835,298.55,90.00 
74,144836,259.3,90.00 
75,144837,297.44,90.00 
76,144838,333.57,90.00 
77,144839,341.34,90.00 
78,144840,341.34,90.00 
79,144841,342.59,90.00 
80,144842,319.3,90.00 
81,144843,335.4,90.00 
82,144844,341.34,90.00 
83,144845,328.18,90.00 
84,144846,347.21,90.00 
85,144847,346.54,90.00 
86,144848,346.51,90.00 
87,144849,307.06,90.00 
88,144850,344.21,90.00 
89,144851,329.17,90.00 
90,144852,331.43,90.00 
91,144853,346.06,90.00 
92,144854,326.01,90.00 
93,144855,314.32,90.00 
94,144856,330.48,90.00 
95,144857,10.32,90.00 
96,144858,347.13,90.00 
97,144859,359.03,90.00 
98,144860,358.51,90.00 
99,144861,78.54,90.00 
100,144862,298.29,90.00 
101,144863,323.2,90.00 
102,144864,295.01,90.00 
103,144865,291.04,90.00 
104,144866,287.2,90.00 
105,144867,351.1,90.00 
106,144868,278.13,90.00 
107,144869,271.27,90.00 
108,144870,309.29,90.00 
109,144871,314.02,90.00 
110,144872,359.39,90.00 
111,144873,247.21,90.00 
112,144874,245.4,90.00 
113,144875,209.03,90.00 
114,144876,196.48,90.00 
115,144877,180.42,90.00 
116,144878,200.22,90.00 
117,144879,199.2,90.00 
118,144880,36.37,90.00 
119,144881,30.12,90.00 
120,144882,32.47,90.00 
121,144883,41.42,90.00 
122,144884,98.55,90.00 
123,144885,82.03,90.00 
124,144886,76.35,90.00 
125,144887,83.14,90.00 
126,144888,87.28,90.00 
127,144889,101.53,90.00 
128,144890,88.55,90.00 
129,144891,293.27,90.00 
130,144892,251.17,90.00 
131,144893,228.14,90.00 
132,144894,280.2,90.00 
133,144895,286.19,90.00 
134,144896,219.3,90.00 
135,144897,323.08,90.00 
136,144898,351.49,90.00 
137,144899,305.49,90.00 
138,144900,17.07,90.00 
139,144901,4.24,90.00 
140,144902,62.11,90.00 
141,144903,155.36,90.00 
142,144904,43.31,90.00 
143,144905,318.23,90.00 
144,144906,161.51,90.00 
145,144907,329.55,90.00 
146,144908,41.43,90.00 
147,144909,154.16,90.00 
148,144910,172.31,90.00 
149,144911,68.28,90.00 
150,144912,175.44,90.00 
151,144913,147.09,90.00 
152,144914,145.16,90.00 
153,144915,85.02,90.00 
154,144916,187.12,90.00 
155,144917,185.19,90.00 
156,144918,185.5,90.00 
157,144919,7.02,90.00 
158,144920,8.36,90.00 
159,144921,2.58,90.00 
160,144922,3.08,90.00 
161,144923,184.3,90.00 
162,144924,354.14,90.00 
163,144925,179.03,90.00 
164,144926,330.47,90.00 
165,144927,327.55,90.00 
166,144928,153.47,90.00 
167,144929,153.28,90.00 
168,144930,352.44,90.00 
169,144931,347.18,90.00 
170,144932,173.49,90.00 
171,144933,344.4,90.00 
172,144934,341.22,90.00 
173,144935,328.36,90.00 
174,144936,87.3,90.00 
175,144937,172.36,90.00 
176,144938,169.41,90.00 
177,144939,342,90.00 
178,144940,350.55,90.00 
179,144941,81.24,90.00 
180,144942,160.07,90.00 
181,144943,164.48,90.00 
182,144944,4.38,90.00 
183,144945,345.04,90.00 
184,144946,346.18,90.00 
185,144947,150.14,90.00 
186,144948,349.04,90.00 
187,144949,171.15,90.00 
188,144950,141.2,90.00 
189,144951,150.17,90.00 
190,144952,343.37,90.00 
191,144953,325.36,90.00 
192,144954,321.56,90.00 
193,144955,265.55,90.00 
194,144956,282.32,90.00 
195,144957,277.21,90.00 
196,144958,89.19,90.00 
197,144959,187.29,90.00 
198,144960,275.45,90.00 
199,144961,88.35,90.00 
200,144962,274.11,90.00 
201,144963,277.15,90.00 
202,144964,276.03,90.00 
203,144965,286.05,90.00 
204,144966,298.36,90.00 
205,144967,93.06,90.00 
206,144968,86.33,90.00 
207,144969,72.03,90.00 
208,144970,27.58,90.00 
209,144971,38.47,90.00 
210,144972,40.46,90.00 
211,144973,40.11,90.00 
212,144974,92.46,90.00 
213,144975,256.44,90.00 
214,144976,257.15,90.00 
215,144977,231.2,90.00 
216,144978,262.45,90.00 
217,144979,129.6,90.00 
218,144980,299.12,90.00 
219,144981,307.23,90.00 
220,144982,306.4,90.00 
221,144983,158.45,90.00 
222,144984,158.12,90.00 
223,144985,334.48,90.00 
224,144986,160.41,90.00 
225,144987,161.42,90.00 
226,144988,327.42,90.00 
227,144989,335.28,90.00 
228,144990,158.05,90.00 
229,144991,326.59,90.00 
230,144992,124.46,90.00 
231,144993,309.32,90.00 
232,144994,172.04,90.00 
233,144995,352.21,90.00 
234,144996,356.04,90.00 
235,144997,357.29,90.00 
236,144998,167.45,90.00 
237,144999,359.02,90.00 
238,145000,148.32,90.00 
239,145001,7.37,90.00 
240,145002,351.3,90.00 
241,145003,10.27,90.00 
242,145004,182.07,90.00 
243,145005,10.32,90.00 
244,145006,9.59,90.00 
245,145007,31.21,90.00 
246,145008,7.16,90.00 
247,145009,200.15,90.00 
248,145010,197.28,90.00 
249,145011,16.24,90.00 
250,145012,301.01,90.00 
251,145013,29.56,90.00 
252,145014,28.55,90.00 
253,145015,209.26,90.00 
254,145016,16.16,90.00 
255,145017,12.42,90.00 
256,145018,185.26,90.00 
257,145019,186.3,90.00 
258,145020,188.48,90.00 
259,145021,194.49,90.00 
260,145022,13.53,90.00 
261,145023,357.58,90.00 
262,145024,358.36,90.00 
263,145025,354.26,90.00 
264,145026,356.12,90.00 
265,145027,22.37,90.00 
266,145028,43.02,90.00 
267,145029,193.1,90.00 
268,145030,194.15,90.00 
269,145031,229.37,90.00 
270,145032,39.26,90.00 
271,145033,246.49,90.00 
272,145034,252.16,90.00 
273,145035,232.51,90.00 
274,145036,52.21,90.00 
275,145037,47.38,90.00 
276,145038,42.58,90.00 
277,145039,177.13,90.00 
278,145040,83.54,90.00 
279,145041,80.44,90.00 
280,145042,110.48,90.00 
281,145043,187.47,90.00 
282,145044,140.44,90.00 
283,145045,126.03,90.00 
284,145046,143.01,90.00 
285,145047,105.16,90.00 
286,145048,109.44,90.00 
287,145049,86.57,90.00 
288,145050,271.34,90.00 
289,145051,186.29,90.00 
290,145052,72.23,90.00 
291,145053,61.08,90.00 
292,145054,77.18,90.00 
293,145055,285.07,90.00 
294,145056,285.05,90.00 
295,145057,111.25,90.00 
296,145058,117.09,90.00 
297,145059,126.23,90.00 
298,145060,128.12,90.00 
299,145061,130.41,90.00 
300,145062,89.15,90.00 
301,145063,183.12,90.00 
302,145064,183.01,90.00 
303,145065,176.31,90.00 
304,145066,181.27,90.00 
305,145067,180.51,90.00 
306,145068,0.26,90.00 
307,145069,111.33,90.00 
308,145070,137.01,90.00 
309,145071,100.42,90.00 
310,145072,160.07,90.00 
311,145073,322.55,90.00 
312,145074,175.34,90.00 
313,145075,324.49,90.00 
314,145076,158.15,90.00 
315,145077,166.5,90.00 
316,145078,167.17,90.00 
317,145079,274.24,90.00 
318,145080,151.47,90.00 
319,145081,93.05,90.00 
320,145082,307.31,90.00 
321,145083,307.14,90.00 
322,145084,160.42,90.00 
323,145085,164.16,90.00 
324,145086,153.43,90.00 
325,145087,161.26,90.00 
326,145088,71.05,90.00 
327,145089,155.07,90.00 
328,145090,151.17,90.00 
329,145091,132.53,90.00 
330,145092,130.19,90.00 
331,145093,156.2,90.00 
332,145094,318.36,90.00 
333,145095,134.1,90.00 
334,145096,148.03,90.00 
335,145097,165.17,90.00 
336,145098,234.3,90.00 
337,145099,48.57,90.00 
338,145100,229.31,90.00 
339,145101,50.09,90.00 
340,145102,54.48,90.00 
341,145103,39.13,90.00 
342,145104,250.18,90.00 
343,145105,42.26,90.00 
344,145106,237.54,90.00 
345,145107,234.19,90.00 
346,145108,53.15,90.00 
347,145109,68.52,90.00 
348,145110,64.11,90.00 
349,145111,141.13,90.00 
350,145112,201.03,90.00 
351,145113,242.35,90.00 
352,145114,65.01,90.00 
353,145115,65.53,90.00 
354,145116,282.55,90.00 
355,145117,282.55,90.00 
356,145118,191.01,90.00 
357,145119,280.39,90.00 
358,145120,200.29,90.00 
359,145121,274.46,90.00 
360,145122,190.47,90.00 
361,145123,190.47,90.00 
362,145124,274.15,90.00 
363,145125,277.08,90.00 
364,145126,277.08,90.00 
365,145127,198.49,90.00 
366,145128,190.36,90.00 
367,145129,255.24,90.00 
368,145130,255.24,90.00 
369,145131,276.56,90.00 
370,145132,267.2,90.00 
371,145133,206.16,90.00 
372,145134,273.13,90.00 
373,145135,273.13,90.00 
374,145136,196.03,90.00 
375,145137,196.03,90.00 
376,145138,267.04,90.00 
377,145139,197.55,90.00 
378,145140,268.04,90.00 
379,145141,211.04,90.00 
380,145142,214.35,90.00 
381,145143,272.26,90.00 
382,145144,261.26,90.00 
383,145145,261.26,90.00 
384,145146,256.03,90.00 
385,145147,182.24,90.00 
386,145148,182.24,90.00 
387,145149,285.38,90.00 
388,145150,21.6,90.00 
389,145151,12.44,90.00 
390,145152,294.34,90.00 
391,145153,282.04,90.00 
392,145154,282.04,90.00 
393,145155,281.19,90.00 
394,145156,279.31,90.00 
395,145157,285.19,90.00 
396,145158,285.59,90.00 
397,145159,285.27,90.00 
398,145160,280.24,90.00 
399,145161,284.5,90.00 
400,145162,11.56,90.00 
401,145163,105.06,90.00 
402,145164,107.57,90.00 
403,145165,107.57,90.00 
404,145166,88.59,90.00 
405,145167,5.59,90.00 
406,145168,82.51,90.00 
407,145169,85.36,90.00 
408,145170,28.22,90.00 
409,145171,109.2,90.00 
410,145172,103.05,90.00 
411,145173,94.1,90.00 
412,145174,28.46,90.00 
413,145175,97.27,90.00 
414,145176,97.27,90.00 
415,145177,100.21,90.00 
416,145178,69.45,90.00 
417,145179,91.17,90.00 
418,145180,91.17,90.00 
419,145181,16.44,90.00 
420,145182,79.12,90.00 
421,145183,79.12,90.00 
422,145184,70.3,90.00 
423,145185,60.58,90.00 
424,145186,92.21,90.00 
425,145187,90.21,90.00 
426,145188,29.39,90.00 
427,145189,84.46,90.00 
428,145190,84.46,90.00 
429,145191,99.38,90.00 
430,145192,116.58,90.00 
431,145193,110.06,90.00 
432,145194,115.24,90.00 
433,145195,110.5,90.00 
434,145196,110.5,90.00 
435,145197,110.5,90.00 
436,145198,112.24,90.00 
437,145199,100.18,90.00 
438,145200,100.18,90.00 
439,145201,114.22,90.00 
440,145202,208.51,90.00 
441,145203,112.37,90.00 
442,145204,112.37,90.00 
443,145205,0,90.00 
444,145206,117.02,90.00 
445,145207,220.38,90.00 
446,145208,181.43,90.00 
447,145209,98.01,90.00 
448,145210,97.31,90.00 
449,145211,117.21,90.00 
450,145212,105.59,90.00 
451,145213,206.57,90.00 
452,145214,205.1,90.00 
453,145215,114.56,90.00 
454,145216,106.34,90.00 
455,145217,106.34,90.00 
456,145218,199.29,90.00 
457,145219,200.2,90.00 
458,145220,288.56,90.00 
459,145221,295.06,90.00 
460,145222,294.35,90.00 
461,145223,287.15,90.00 
462,145224,0,90.00 
463,145225,13.57,90.00 
464,145226,33.08,90.00 
465,145227,33.08,90.00 
466,145228,2.17,90.00 
467,145229,8.19,90.00 
468,145230,0.56,90.00 
469,145231,285.48,90.00 
470,145232,198.06,90.00 
471,145233,191.28,90.00 
472,145234,180.45,90.00 
473,145235,185.2,90.00 
474,145236,160.15,90.00 
475,145237,175.24,90.00 
476,145238,176.16,90.00 
477,145239,88.28,90.00 
478,145240,165.05,90.00 
479,145241,171.17,90.00 
480,145242,169.38,90.00 
481,145243,277.26,90.00 
482,145244,176.45,90.00 
483,145245,238.46,90.00 
484,145246,87.21,90.00 
485,145247,198.22,90.00 
486,145248,114.56,90.00 
487,145249,186.56,90.00 
488,145250,207.56,90.00 
489,145251,212.06,90.00 
490,145252,96.4,90.00 
491,145253,178.54,90.00 
492,145254,175.58,90.00 
493,145255,90.27,90.00 
494,145256,6.33,90.00 
495,145257,9.43,90.00 
496,145258,356.16,90.00 
497,145259,349.58,90.00 
498,145260,358.16,90.00 
499,145261,6.32,90.00 
500,145262,3.48,90.00 
501,145263,358.57,90.00 
502,145264,123.51,90.00 
503,145265,63.26,90.00 
504,145266,67.25,90.00 
505,145267,242.34,90.00 
506,145268,281.22,90.00 
507,145269,323.22,90.00 
508,145270,300.47,90.00 
509,145271,236.42,90.00 
510,145272,224.17,90.00 
511,145273,232.47,90.00 
512,145274,222.16,90.00 
513,145275,219.14,90.00 
514,145276,248.04,90.00 
515,145277,248.29,90.00 
516,145278,225.48,90.00 
517,145279,216.09,90.00 
518,145280,351.59,90.00 
519,145281,350.4,90.00 
520,145282,37.31,90.00 
521,145283,35.31,90.00 
522,145284,57.35,90.00 
523,145285,43.4,90.00 
524,145286,59.27,90.00 
525,145287,79.3,90.00 
526,145288,75.22,90.00 
527,145289,70.29,90.00 
528,145290,69.32,90.00 
529,145291,70.26,90.00 
530,145292,69.16,90.00 
531,145293,135.44,90.00 
532,145294,207.21,90.00 
533,145295,133.42,90.00 
534,145296,159.07,90.00 
535,145297,165.45,90.00 
536,145298,170.55,90.00 
537,145299,148.41,90.00 
538,145300,180.14,90.00 
539,145301,165.04,90.00 
540,145302,162.35,90.00 
541,145303,163.5,90.00 
542,145304,334.53,90.00 
543,145305,355.05,90.00 
544,145306,359.38,90.00 
545,145307,355.03,90.00 
546,145308,354.4,90.00 
547,145309,355.5,90.00 
548,145310,351.28,90.00 
549,145311,350.05,90.00 
550,145312,312.03,90.00 
551,145313,37.12,90.00 
552,145314,338.21,90.00 
553,145315,359.59,90.00 
554,145316,93.06,90.00 
555,145317,111.23,90.00 
556,145318,100.34,90.00 
557,145319,97.26,90.00 
558,145320,77.56,90.00 
559,145321,92.16,90.00 
560,145322,95.5,90.00 
561,145323,94.12,90.00 
562,145324,98.13,90.00 
563,145325,50.34,90.00 
564,145326,281.45,90.00 
565,145327,264.14,90.00 
566,145328,290.47,90.00 
567,145329,289.55,90.00 
568,145330,298.59,90.00 
569,145331,293.22,90.00 
570,145332,295.35,90.00 
571,145333,291.36,90.00 
572,145334,204.52,90.00 
573,145335,280.01,90.00 
574,145336,268.54,90.00 
575,145337,276.29,90.00 
576,145338,301.06,90.00 
577,145339,184.53,90.00 
578,145340,101.54,90.00 
579,145341,118.19,90.00 
580,145342,240.06,90.00 
581,145343,273.01,90.00 
582,145344,166.4,90.00 
583,145345,170.23,90.00 
584,145346,155.2,90.00 
585,145347,150.38,90.00 
586,145348,221.5,90.00 
587,145349,241.25,90.00 
588,145350,325.25,90.00 
589,145351,333.58,90.00 
590,145352,250.24,90.00 
591,145353,250.24,90.00 
592,145354,14.38,90.00 
593,145355,348.24,90.00 
594,145356,347.43,90.00 
595,145357,61.17,90.00 
596,145358,60.5,90.00 
597,145359,42.12,90.00 
598,145360,44.5,90.00 
599,145361,84.46,90.00 
600,145362,2.06,90.00 
601,145363,39.4,90.00 
602,145364,103.52,90.00 
603,145365,57.47,90.00 
604,145366,43.59,90.00 
605,145367,171.51,90.00 
606,145368,173.42,90.00 
607,145369,169.56,90.00 
608,145370,157.16,90.00 
609,145371,130.37,90.00 
610,145372,50.38,90.00 
611,145373,148.57,90.00 
612,145374,47.11,90.00 
613,145375,61.5,90.00 
614,145376,272.03,90.00 
615,145377,256.36,90.00 
616,145378,283.18,90.00 
617,145379,287.32,90.00 
618,145380,241.04,90.00 
619,145381,240.46,90.00 
620,145382,243.26,90.00 
621,145383,272.37,90.00 
622,145384,209.23,90.00 
623,145385,30.45,90.00 
624,145386,279.45,90.00 
625,145387,271.43,90.00 
626,145388,89.52,90.00 
627,145389,190.55,90.00 
628,145390,275.59,90.00 
629,145391,105.51,90.00 
630,145392,109.14,90.00 
631,145393,118.09,90.00 
632,145394,81.3,90.00 
633,145395,181.52,90.00 
634,145396,359.3,90.00 
635,145397,350.09,90.00 
636,145398,153.46,90.00 
637,145399,190.39,90.00 
638,145400,356.21,90.00 
639,145401,264.46,90.00 
640,145402,262.55,90.00 
641,145403,273.46,90.00 
642,145404,115.58,90.00 
643,145405,276.49,90.00 
644,145406,107.5,90.00 
645,145407,350.58,90.00 
646,145408,178.17,90.00 
647,145409,273.38,90.00 
648,145410,100.03,90.00 
649,145411,269.52,90.00 
650,145412,80.17,90.00 
651,145413,100.38,90.00 
652,145414,172.19,90.00 
653,145415,1.16,90.00 
654,145416,279.56,90.00 
655,145417,21.56,90.00 
656,145418,104.29,90.00 
657,145419,276.56,90.00 
658,145420,272.07,90.00 
659,145421,116.49,90.00 
660,145422,80.51,90.00 
661,145423,286.25,90.00 
662,145424,273.06,90.00 
663,145425,84.16,90.00 
664,145426,276.57,90.00 
665,145427,5.25,90.00 
666,145428,77.27,90.00 
667,145429,292.46,90.00 
668,145430,87.6,90.00 
669,145431,279.41,90.00 
670,145432,183.32,90.00 
671,145433,91.29,90.00 
672,145434,269.45,90.00 
673,145435,86.52,90.00 
674,145436,189.04,90.00 
675,145437,9.09,90.00 
676,145438,278.11,90.00 
677,145439,192.43,90.00 
678,145440,83.43,90.00 
679,145441,273.31,90.00 
680,145442,273.58,90.00 
681,145443,110.42,90.00 
682,145444,273.1,90.00 
683,145445,7.46,90.00 
684,145446,95.52,90.00 
685,145447,276.6,90.00 
686,145448,186.38,90.00 
687,145449,268.16,90.00 
688,145450,84.21,90.00 
689,145451,198.41,90.00 
690,145452,94.21,90.00 
691,145453,278.31,90.00 
692,145454,346.51,90.00 
693,145455,191.31,90.00 
694,145456,100.13,90.00 
695,145457,206.16,90.00 
696,145458,267.25,90.00 
697,145459,109.12,90.00 
698,145460,67.39,90.00 
699,145461,298.53,90.00 
700,145462,200.34,90.00 
701,145463,77.58,90.00 
702,145464,54.41,90.00 
703,145465,277.53,90.00 
704,145466,87.55,90.00 
705,145467,80.16,90.00 
706,145468,269.1,90.00 
